[train] run_name=20260328_130956
[train] device=cuda seed=42
[train] train_runs(90): ['run_008', 'run_009', 'run_010', 'run_012', 'run_013', 'run_014', 'run_015', 'run_016', 'run_017', 'run_019', 'run_020', 'run_021', 'run_025', 'run_026', 'run_031', 'run_032', 'run_033', 'run_034', 'run_036', 'run_037', 'run_038', 'run_039', 'run_044', 'run_046', 'run_049', 'run_051', 'run_055', 'run_056', 'run_057', 'run_061', 'run_062', 'run_063', 'run_065', 'run_066', 'run_067', 'run_068', 'run_069', 'run_070', 'run_071', 'run_072', 'run_073', 'run_074', 'run_075', 'run_076', 'run_077', 'run_078', 'run_081', 'run_083', 'run_084', 'run_085', 'run_086', 'run_087', 'run_088', 'run_089', 'run_091', 'run_093', 'run_094', 'run_095', 'run_096', 'run_099', 'run_100', 'run_101', 'run_102', 'run_105', 'run_106', 'run_107', 'run_108', 'run_109', 'run_110', 'run_111', 'run_112', 'run_113', 'run_115', 'run_116', 'run_119', 'run_120', 'run_122', 'run_123', 'run_125', 'run_127', 'run_128', 'run_129', 'run_130', 'run_131', 'run_132', 'run_134', 'run_135', 'run_136', 'run_137', 'run_138']
[train] val_runs(10): ['run_011', 'run_022', 'run_023', 'run_030', 'run_047', 'run_052', 'run_059', 'run_117', 'run_124', 'run_133']
[train] num_train_samples=48741 num_val_samples=5580
[train] params.image_encoder: trainable=27744 total=27744
[train] params.point_encoder: trainable=4416 total=4416
[train] params.state_encoder: trainable=640 total=640
[train] params.fusion: trainable=82176 total=82176
[train] params.time_mlp: trainable=4288 total=4288
[train] params.denoise: trainable=492608 total=492608
[train] params.policy_total: trainable=611872 total=611872
epoch=1/100 step=100/1524 global_step=100 train_loss=0.974215
epoch=1/100 step=200/1524 global_step=200 train_loss=0.744087
epoch=1/100 step=300/1524 global_step=300 train_loss=0.664718
epoch=1/100 step=400/1524 global_step=400 train_loss=0.618590
epoch=1/100 step=500/1524 global_step=500 train_loss=0.522461
epoch=1/100 step=600/1524 global_step=600 train_loss=0.367932
epoch=1/100 step=700/1524 global_step=700 train_loss=0.421632
epoch=1/100 step=800/1524 global_step=800 train_loss=0.335225
epoch=1/100 step=900/1524 global_step=900 train_loss=0.381207
epoch=1/100 step=1000/1524 global_step=1000 train_loss=0.367125
epoch=1/100 step=1100/1524 global_step=1100 train_loss=0.401511
epoch=1/100 step=1200/1524 global_step=1200 train_loss=0.309138
epoch=1/100 step=1300/1524 global_step=1300 train_loss=0.334726
epoch=1/100 step=1400/1524 global_step=1400 train_loss=0.337819
epoch=1/100 step=1500/1524 global_step=1500 train_loss=0.222747
epoch=1/100 step=1524/1524 global_step=1524 train_loss=0.387780
