[train] run_name=20260329_101940
[train] device=cuda seed=42
[train] train_runs(90): ['run_008', 'run_009', 'run_010', 'run_012', 'run_013', 'run_014', 'run_015', 'run_016', 'run_017', 'run_019', 'run_020', 'run_021', 'run_025', 'run_026', 'run_031', 'run_032', 'run_033', 'run_034', 'run_036', 'run_037', 'run_038', 'run_039', 'run_044', 'run_046', 'run_049', 'run_051', 'run_055', 'run_056', 'run_057', 'run_061', 'run_062', 'run_063', 'run_065', 'run_066', 'run_067', 'run_068', 'run_069', 'run_070', 'run_071', 'run_072', 'run_073', 'run_074', 'run_075', 'run_076', 'run_077', 'run_078', 'run_081', 'run_083', 'run_084', 'run_085', 'run_086', 'run_087', 'run_088', 'run_089', 'run_091', 'run_093', 'run_094', 'run_095', 'run_096', 'run_099', 'run_100', 'run_101', 'run_102', 'run_105', 'run_106', 'run_107', 'run_108', 'run_109', 'run_110', 'run_111', 'run_112', 'run_113', 'run_115', 'run_116', 'run_119', 'run_120', 'run_122', 'run_123', 'run_125', 'run_127', 'run_128', 'run_129', 'run_130', 'run_131', 'run_132', 'run_134', 'run_135', 'run_136', 'run_137', 'run_138']
[train] val_runs(10): ['run_011', 'run_022', 'run_023', 'run_030', 'run_047', 'run_052', 'run_059', 'run_117', 'run_124', 'run_133']
[train] num_train_samples=48741 num_val_samples=5580
[train] params.image_encoder: trainable=11439168 total=11439168
[train] params.point_encoder: trainable=435840 total=435840
[train] params.state_encoder: trainable=132864 total=132864
[train] params.time_mlp: trainable=16768 total=16768
[train] params.denoise: trainable=8917056 total=8917056
[train] params.policy_total: trainable=20941696 total=20941696
epoch=1/500 step=100/1524 train_loss=0.882689 elapsed=00:00:04
epoch=1/500 step=200/1524 train_loss=0.521892 elapsed=00:00:09
epoch=1/500 step=300/1524 train_loss=0.454210 elapsed=00:00:13
epoch=1/500 step=400/1524 train_loss=0.465258 elapsed=00:00:17
epoch=1/500 step=500/1524 train_loss=0.354375 elapsed=00:00:22
epoch=1/500 step=600/1524 train_loss=0.220362 elapsed=00:00:26
epoch=1/500 step=700/1524 train_loss=0.276064 elapsed=00:00:30
epoch=1/500 step=800/1524 train_loss=0.242039 elapsed=00:00:35
epoch=1/500 step=900/1524 train_loss=0.290561 elapsed=00:00:39
epoch=1/500 step=1000/1524 train_loss=0.293466 elapsed=00:00:44
epoch=1/500 step=1100/1524 train_loss=0.329219 elapsed=00:00:48
epoch=1/500 step=1200/1524 train_loss=0.225917 elapsed=00:00:52
epoch=1/500 step=1300/1524 train_loss=0.276189 elapsed=00:00:57
epoch=1/500 step=1400/1524 train_loss=0.249224 elapsed=00:01:01
epoch=1/500 step=1500/1524 train_loss=0.166051 elapsed=00:01:05
epoch=1/500 step=1524/1524 train_loss=0.273915 elapsed=00:01:06
epoch=1/500 mean_train_loss=0.386202 mean_val_loss=0.224524
epoch=2/500 step=100/1524 train_loss=0.154543 elapsed=00:01:14
epoch=2/500 step=200/1524 train_loss=0.146157 elapsed=00:01:18
epoch=2/500 step=300/1524 train_loss=0.149459 elapsed=00:01:23
epoch=2/500 step=400/1524 train_loss=0.241848 elapsed=00:01:27
epoch=2/500 step=500/1524 train_loss=0.225771 elapsed=00:01:32
epoch=2/500 step=600/1524 train_loss=0.248869 elapsed=00:01:36
epoch=2/500 step=700/1524 train_loss=0.156494 elapsed=00:01:40
epoch=2/500 step=800/1524 train_loss=0.217841 elapsed=00:01:45
epoch=2/500 step=900/1524 train_loss=0.238599 elapsed=00:01:49
epoch=2/500 step=1000/1524 train_loss=0.120828 elapsed=00:01:53
epoch=2/500 step=1100/1524 train_loss=0.084974 elapsed=00:01:58
epoch=2/500 step=1200/1524 train_loss=0.144051 elapsed=00:02:02
epoch=2/500 step=1300/1524 train_loss=0.206553 elapsed=00:02:07
epoch=2/500 step=1400/1524 train_loss=0.134759 elapsed=00:02:11
epoch=2/500 step=1500/1524 train_loss=0.248021 elapsed=00:02:15
epoch=2/500 step=1524/1524 train_loss=0.046894 elapsed=00:02:16
epoch=2/500 mean_train_loss=0.187636 mean_val_loss=0.162427
epoch=3/500 step=100/1524 train_loss=0.175439 elapsed=00:02:24
epoch=3/500 step=200/1524 train_loss=0.125104 elapsed=00:02:28
epoch=3/500 step=300/1524 train_loss=0.171333 elapsed=00:02:33
epoch=3/500 step=400/1524 train_loss=0.103687 elapsed=00:02:37
epoch=3/500 step=500/1524 train_loss=0.114718 elapsed=00:02:41
epoch=3/500 step=600/1524 train_loss=0.134467 elapsed=00:02:46
