[train] run_name=20260331_120844
[train] device=cuda seed=42
[train] train_runs(95): ['run_008', 'run_009', 'run_010', 'run_012', 'run_013', 'run_014', 'run_015', 'run_016', 'run_017', 'run_019', 'run_020', 'run_021', 'run_022', 'run_025', 'run_026', 'run_030', 'run_031', 'run_032', 'run_033', 'run_034', 'run_036', 'run_037', 'run_038', 'run_039', 'run_044', 'run_046', 'run_047', 'run_049', 'run_051', 'run_052', 'run_055', 'run_056', 'run_057', 'run_061', 'run_062', 'run_063', 'run_065', 'run_066', 'run_067', 'run_068', 'run_069', 'run_070', 'run_071', 'run_072', 'run_073', 'run_074', 'run_075', 'run_076', 'run_077', 'run_078', 'run_081', 'run_083', 'run_084', 'run_085', 'run_086', 'run_087', 'run_088', 'run_089', 'run_091', 'run_093', 'run_094', 'run_095', 'run_096', 'run_099', 'run_100', 'run_101', 'run_102', 'run_105', 'run_106', 'run_107', 'run_108', 'run_109', 'run_110', 'run_111', 'run_112', 'run_113', 'run_115', 'run_116', 'run_119', 'run_120', 'run_122', 'run_123', 'run_124', 'run_125', 'run_127', 'run_128', 'run_129', 'run_130', 'run_131', 'run_132', 'run_134', 'run_135', 'run_136', 'run_137', 'run_138']
[train] val_runs(5): ['run_011', 'run_023', 'run_059', 'run_117', 'run_133']
[train] num_train_samples=51617 num_val_samples=2704
[train] params.image_encoder: trainable=11439168 total=11439168
[train] params.point_encoder: trainable=435840 total=435840
[train] params.state_encoder: trainable=132864 total=132864
[train] params.time_mlp: trainable=16768 total=16768
[train] params.denoise: trainable=8917056 total=8917056
[train] params.policy_total: trainable=20941696 total=20941696
epoch=1/100 step=100/1614 train_loss=0.985414 elapsed=00:00:04
epoch=1/100 step=200/1614 train_loss=0.892347 elapsed=00:00:09
epoch=1/100 step=300/1614 train_loss=0.693623 elapsed=00:00:13
epoch=1/100 step=400/1614 train_loss=0.660518 elapsed=00:00:17
epoch=1/100 step=500/1614 train_loss=0.572930 elapsed=00:00:22
epoch=1/100 step=600/1614 train_loss=0.428871 elapsed=00:00:26
epoch=1/100 step=700/1614 train_loss=0.500627 elapsed=00:00:30
epoch=1/100 step=800/1614 train_loss=0.407145 elapsed=00:00:34
epoch=1/100 step=900/1614 train_loss=0.428410 elapsed=00:00:39
epoch=1/100 step=1000/1614 train_loss=0.439442 elapsed=00:00:43
epoch=1/100 step=1100/1614 train_loss=0.451189 elapsed=00:00:47
epoch=1/100 step=1200/1614 train_loss=0.375677 elapsed=00:00:52
epoch=1/100 step=1300/1614 train_loss=0.393876 elapsed=00:00:56
epoch=1/100 step=1400/1614 train_loss=0.384930 elapsed=00:01:00
epoch=1/100 step=1500/1614 train_loss=0.257527 elapsed=00:01:05
epoch=1/100 step=1600/1614 train_loss=0.356165 elapsed=00:01:09
epoch=1/100 step=1614/1614 train_loss=0.166276 elapsed=00:01:10
epoch=1/100 mean_train_loss=0.542156 mean_val_loss=0.344982
epoch=2/100 step=100/1614 train_loss=0.286631 elapsed=00:01:16
epoch=2/100 step=200/1614 train_loss=0.236760 elapsed=00:01:20
epoch=2/100 step=300/1614 train_loss=0.260396 elapsed=00:01:24
epoch=2/100 step=400/1614 train_loss=0.337526 elapsed=00:01:29
epoch=2/100 step=500/1614 train_loss=0.332091 elapsed=00:01:33
epoch=2/100 step=600/1614 train_loss=0.306189 elapsed=00:01:37
epoch=2/100 step=700/1614 train_loss=0.260299 elapsed=00:01:42
epoch=2/100 step=800/1614 train_loss=0.331435 elapsed=00:01:46
epoch=2/100 step=900/1614 train_loss=0.370350 elapsed=00:01:50
epoch=2/100 step=1000/1614 train_loss=0.233128 elapsed=00:01:55
epoch=2/100 step=1100/1614 train_loss=0.192512 elapsed=00:01:59
epoch=2/100 step=1200/1614 train_loss=0.254131 elapsed=00:02:03
epoch=2/100 step=1300/1614 train_loss=0.335957 elapsed=00:02:08
epoch=2/100 step=1400/1614 train_loss=0.299359 elapsed=00:02:12
epoch=2/100 step=1500/1614 train_loss=0.372950 elapsed=00:02:16
epoch=2/100 step=1600/1614 train_loss=0.284570 elapsed=00:02:21
epoch=2/100 step=1614/1614 train_loss=0.093223 elapsed=00:02:21
epoch=2/100 mean_train_loss=0.300428 mean_val_loss=0.284799
epoch=3/100 step=100/1614 train_loss=0.295880 elapsed=00:02:27
epoch=3/100 step=200/1614 train_loss=0.209683 elapsed=00:02:32
epoch=3/100 step=300/1614 train_loss=0.283745 elapsed=00:02:36
epoch=3/100 step=400/1614 train_loss=0.184237 elapsed=00:02:41
