[train] run_name=20260331_172328_small
[train] model_size=small
[train] device=cuda seed=42
[train] train_runs(95): ['run_008', 'run_009', 'run_010', 'run_012', 'run_013', 'run_014', 'run_015', 'run_016', 'run_017', 'run_019', 'run_020', 'run_021', 'run_022', 'run_025', 'run_026', 'run_030', 'run_031', 'run_032', 'run_033', 'run_034', 'run_036', 'run_037', 'run_038', 'run_039', 'run_044', 'run_046', 'run_047', 'run_049', 'run_051', 'run_052', 'run_055', 'run_056', 'run_057', 'run_061', 'run_062', 'run_063', 'run_065', 'run_066', 'run_067', 'run_068', 'run_069', 'run_070', 'run_071', 'run_072', 'run_073', 'run_074', 'run_075', 'run_076', 'run_077', 'run_078', 'run_081', 'run_083', 'run_084', 'run_085', 'run_086', 'run_087', 'run_088', 'run_089', 'run_091', 'run_093', 'run_094', 'run_095', 'run_096', 'run_099', 'run_100', 'run_101', 'run_102', 'run_105', 'run_106', 'run_107', 'run_108', 'run_109', 'run_110', 'run_111', 'run_112', 'run_113', 'run_115', 'run_116', 'run_119', 'run_120', 'run_122', 'run_123', 'run_124', 'run_125', 'run_127', 'run_128', 'run_129', 'run_130', 'run_131', 'run_132', 'run_134', 'run_135', 'run_136', 'run_137', 'run_138']
[train] val_runs(5): ['run_011', 'run_023', 'run_059', 'run_117', 'run_133']
[train] num_train_samples=51617 num_val_samples=2704
[train] params.image_encoder: trainable=27744 total=27744
[train] params.point_encoder: trainable=4416 total=4416
[train] params.state_encoder: trainable=640 total=640
[train] params.time_mlp: trainable=4288 total=4288
[train] params.denoise: trainable=492608 total=492608
[train] params.policy_total: trainable=611872 total=611872
[train] params.fusion: trainable=82176 total=82176
epoch=1/200 step=100/1614 train_loss=0.047935 elapsed=00:00:02
epoch=1/200 step=200/1614 train_loss=0.020286 elapsed=00:00:04
epoch=1/200 step=300/1614 train_loss=0.012259 elapsed=00:00:06
epoch=1/200 step=400/1614 train_loss=0.011244 elapsed=00:00:08
epoch=1/200 step=500/1614 train_loss=0.008805 elapsed=00:00:10
epoch=1/200 step=600/1614 train_loss=0.008599 elapsed=00:00:12
epoch=1/200 step=700/1614 train_loss=0.005793 elapsed=00:00:14
epoch=1/200 step=800/1614 train_loss=0.010534 elapsed=00:00:16
epoch=1/200 step=900/1614 train_loss=0.005873 elapsed=00:00:18
epoch=1/200 step=1000/1614 train_loss=0.009221 elapsed=00:00:20
epoch=1/200 step=1100/1614 train_loss=0.004368 elapsed=00:00:22
epoch=1/200 step=1200/1614 train_loss=0.006228 elapsed=00:00:24
epoch=1/200 step=1300/1614 train_loss=0.005870 elapsed=00:00:26
epoch=1/200 step=1400/1614 train_loss=0.003807 elapsed=00:00:28
